latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,temp_diff_ti4_ti5,log_frp,is_night,confidence_numeric,acq_hour,distance_to_plant_km,log_distance_to_plant,nearest_plant_name,nearest_plant_fuel,nearest_plant_capacity_mw,nearest_plant_status,distance_to_flare_km,log_distance_to_flare,nearest_flare_field,nearest_flare_operator,nearest_flare_level,nearest_flare_mean_vol,nearest_flare_active_years,distance_to_coal_mine_km,log_distance_to_coal_mine,nearest_mine_name,nearest_mine_type,nearest_mine_status,min_distance_to_industrial_km,log_min_industrial_distance,is_near_plant_3km,is_near_flare_3km,is_near_mine_5km,is_near_industrial_5km,lat_grid,lon_grid,spatial_persistence_count,weak_supervision_label,is_industrial_candidate,prob_industrial_radiometric,prob_industrial_fused,pred_class_fused,detailed_predicted_class
17.96539,75.48702,336.33,0.46,0.39,2026-08-31,830,N20,nominal,2.0NRT,299.52,3.37,D,36.81,1.4747630091074988,0,0.66,8,230.30266654675276,5.443727097691272,Mangaon Combined Cycle power plant,fossil gas: natural gas,388.0,operating,139.38709025598007,4.944403537620342,Unknown,Small,1.49191319,1.49191319,0.0,403.2263758043999,6.001975057180974,Marki Mangli IV Coal Mine,Surface,Proposed,139.38709025598007,4.944403537620342,0,0,0,0,17.97,75.49,1,ACTIVE_WILDFIRE_OR_FOREST_FIRE,0,0.012052548,0.00024843347,FOREST_OR_NATURAL_FIRE,Active Wildfire / Forest Fire
7.52504,80.89655,334.12,0.47,0.48,2026-08-31,828,N20,nominal,2.0NRT,302.17,5.21,D,31.94999999999999,1.8261608959453877,0,0.66,8,120.71509836938527,4.801683054495489,Sapugaskanda power station,fossil liquids: diesel,80.0,operating,295.8579395158509,5.693253706243644,Perungulam,Small,0.25373929725,1.014957189,0.0,470.7761565574973,6.156504628514454,Neyveli II Coal Mine,Surface,Operating,120.71509836938527,4.801683054495489,0,0,0,0,7.53,80.9,1,ACTIVE_WILDFIRE_OR_FOREST_FIRE,0,0.015927395,0.00027991325,FOREST_OR_NATURAL_FIRE,Active Wildfire / Forest Fire
21.10255,72.63916,337.23,0.39,0.37,2026-08-31,833,N20,nominal,2.0NRT,296.08,7.44,D,41.150000000000034,2.132982308607866,0,0.66,8,1.8157714780529215,1.0352362837432385,Hazira (Essar) power station,"fossil gas: natural gas, fossil liquids: naphtha, fossil liquids: diesel",515.0,operating,7.432546924964363,2.1320988527130877,Unknown,Small,4.691754167,4.691754167,0.0,52.86192562430174,3.986423839145052,Tadkeshwar Lignite Mine,Surface,Operating,1.8157714780529215,1.0352362837432385,1,0,0,1,21.1,72.64,4,INDUSTRIAL_FACILITY_ALERT,1,0.044640213,0.99872273,INDUSTRIAL_THERMAL_SOURCE,"Industrial Facility Alert (fossil gas: natural gas, fossil liquids: naphtha, fossil liquids: diesel)"
7.57079,80.9034,335.4,0.48,0.48,2026-08-31,828,N20,nominal,2.0NRT,303.23,3.04,D,32.16999999999996,1.396244691973059,0,0.66,8,124.0611402177354,4.8288027394631365,Sapugaskanda power station,fossil liquids: diesel,80.0,operating,292.9879011298547,5.683538613872347,Perungulam,Small,0.25373929725,1.014957189,0.0,466.22705149356847,6.14681533115109,Neyveli II Coal Mine,Surface,Operating,124.0611402177354,4.8288027394631365,0,0,0,0,7.57,80.9,1,ACTIVE_WILDFIRE_OR_FOREST_FIRE,0,0.014133405,0.00028431133,FOREST_OR_NATURAL_FIRE,Active Wildfire / Forest Fire
21.102,72.63538,337.48,0.39,0.37,2026-08-31,833,N20,nominal,2.0NRT,299.47,9.17,D,38.00999999999999,2.3194422100604686,0,0.66,8,2.193234258430353,1.1610342772896265,Hazira (Essar) power station,"fossil gas: natural gas, fossil liquids: naphtha, fossil liquids: diesel",515.0,operating,7.557055529042268,2.146756150726802,Unknown,Small,4.691754167,4.691754167,0.0,53.2258497664527,3.993157727709607,Tadkeshwar Lignite Mine,Surface,Operating,2.193234258430353,1.1610342772896265,1,0,0,1,21.1,72.64,4,UNCONFIRMED_INTERMEDIATE,-1,0.022038892,0.99872273,INDUSTRIAL_THERMAL_SOURCE,"Industrial Facility Alert (fossil gas: natural gas, fossil liquids: naphtha, fossil liquids: diesel)"
21.93708,57.07782,342.66,0.69,0.74,2026-08-31,833,N20,nominal,2.0NRT,307.42,6.32,D,35.24000000000001,1.99061032797322,0,0.66,8,71.16382224895607,4.278938843433541,Qarn Alam power plant,fossil gas: natural gas,70.0,operating,0.3728339213212959,0.3168771590334751,Burhaan North,Small,10.45515701,10.45515701,0.0,954.1575981255288,6.861876351080946,Bab Nizou Coal Mine,Underground,Operating,0.3728339213212959,0.3168771590334751,0,1,0,1,21.94,57.08,9,PERSISTENT_FLARE_HOTSPOT,1,0.91742986,0.99881494,INDUSTRIAL_THERMAL_SOURCE,Gas Flare / Upstream Thermal Source
7.6052,80.95647,335.52,0.48,0.48,2026-08-31,828,N20,nominal,2.0NRT,304.23,3.1,D,31.289999999999964,1.410986973710262,0,0.66,8,131.05081907608346,4.883186841496213,Sapugaskanda power station,fossil liquids: diesel,80.0,operating,294.85761778243227,5.689878317591047,Perungulam,Small,0.25373929725,1.014957189,0.0,464.6230290643387,6.143376356242908,Neyveli II Coal Mine,Surface,Operating,131.05081907608346,4.883186841496213,0,0,0,0,7.61,80.96,1,ACTIVE_WILDFIRE_OR_FOREST_FIRE,0,0.014447513,0.00028431133,FOREST_OR_NATURAL_FIRE,Active Wildfire / Forest Fire
22.28808,56.53252,340.06,0.73,0.76,2026-08-31,833,N20,nominal,2.0NRT,307.64,2.93,D,32.420000000000016,1.3686394258811698,0,0.66,8,105.28828231449522,4.666155047047004,Saih Rawl power plant,fossil gas: natural gas,185.0,operating,0.6630873405292611,0.5086757186929224,Fahud,Small,3.361769737,3.361769737,0.0,914.2479185039962,6.819194977760115,Bab Nizou Coal Mine,Underground,Operating,0.6630873405292611,0.5086757186929224,0,1,0,1,22.29,56.53,4,PERSISTENT_FLARE_HOTSPOT,1,0.91182464,0.99883324,INDUSTRIAL_THERMAL_SOURCE,Gas Flare / Upstream Thermal Source
7.74957,81.51717,346.03,0.53,0.5,2026-08-31,828,N20,nominal,2.0NRT,302.95,19.14,D,43.079999999999984,3.0027078872904163,0,0.66,8,178.75211823237498,5.191578780856478,Ace Embilipitiya power station,fossil liquids: heavy fuel oil,105.0,operating,335.37413061942544,5.818224024486095,Perungulam,Small,0.25373929725,1.014957189,0.0,475.2599668583499,6.165963854008489,Neyveli II Coal Mine,Surface,Operating,178.75211823237498,5.191578780856478,0,0,0,0,7.75,81.52,1,ACTIVE_WILDFIRE_OR_FOREST_FIRE,0,0.02643984,0.00027991325,FOREST_OR_NATURAL_FIRE,Active Wildfire / Forest Fire
22.28867,56.53329,337.12,0.73,0.76,2026-08-31,833,N20,low,2.0NRT,307.69,4.07,D,29.430000000000007,1.623340817603092,0,0.33,8,105.33712709803208,4.666614491518208,Saih Rawl power plant,fossil gas: natural gas,185.0,operating,0.6992921309333656,0.5302117707776871,Fahud,Small,2.66319577575,4.433318003,0.0,914.1813476237844,6.819122239762015,Bab Nizou Coal Mine,Underground,Operating,0.6992921309333656,0.5302117707776871,0,1,0,1,22.29,56.53,4,PERSISTENT_FLARE_HOTSPOT,1,0.89477074,0.99881494,INDUSTRIAL_THERMAL_SOURCE,Gas Flare / Upstream Thermal Source
